Client Name,Address,Team,Total Sale,Sale Month,Last Sale Date,Total Payment,Payment Month,Last Payment Date,DUE,Sales Frequency,Payment Freqency,Balance_status,Credit Risk,Days Since Last Collection,Recency Status
Aayat,Alinagar,Vijay Jha,67000,Jan,2026-1-18,50000,Dec,2025-12-4,17000,2,1,Pending,Low,57,Moderate
Abhishek,Sakatpur,Chandan,12400,Dec,2025-12-28,4100,Jan,2026-1-29,8300,1,1,Pending,Low,1,Active
Aditya Communication,East Gangania,Barun Thakur,24470,Jan,2026-1-28,21320,Dec,2025-12-11,3150,3,3,Pending,Low,50,Moderate
Aditya Mobile,"Sarisab Pahi, Near High School",Ajay,12500,Dec,2025-12-1,4000,Jan,2026-1-13,8500,1,1,Pending,Low,17,Active
Aditya Point,Nehra Ward 15,Barun Thakur,19270,Jan,2026-1-24,15850,Dec,2025-12-28,3420,4,2,Pending,Low,33,Active
Aditya Sah Radio,Jhanjharpur,Chandan,243210,Nov,2025-11-18,20230,Dec,2025-12-15,222980,4,2,Pending,Very High,46,Moderate
Amit Connect,"Muzaffarpur Road,  Mandir",Vijay Jha,2150930,Nov,2025-11-28,1990920,Nov,2025-11-15,160010,3,2,Pending,High,76,Inactive
Anjali Gallery,"Ranipur, Station Road",Tiwari Jee,1202430,Jan,2026-1-16,983580,Nov,2025-11-27,218850,4,4,Pending,Very High,64,Moderate
Anjali Mobile,Tower Chowk Ward 2,Ajay,22800,Dec,2025-12-17,22200,Jan,2026-1-25,600,1,1,Pending,Low,5,Active
Aryan Centre,Mirzapur Ward 15,Chandan,241190,Jan,2026-1-16,208510,Nov,2025-11-16,32680,1,4,Pending,Medium,75,Moderate
Aryan Zone,"Jhanjharpur, Cinema Road",Ajay,118000,Nov,2025-11-14,100000,Dec,2025-12-12,18000,1,4,Pending,Low,49,Moderate
Baba Digital,Phulparas,Chandan,1466840,Dec,2025-12-15,1201070,Nov,2025-11-27,265770,5,2,Pending,Very High,64,Moderate
Baba Electronics,Muzaffarpur Road Chowk,Barun Thakur,2355770,Nov,2025-11-16,2201120,Nov,2025-11-18,154650,4,1,Pending,High,73,Moderate
Baba Sales,Mansapur Market,Barun Thakur,2079500,Dec,2025-12-26,1759220,Jan,2026-1-4,320280,4,4,Pending,Very High,26,Active
Bablu Electronics,Madhepur,Tiwari Jee,149000,Dec,2025-12-8,100000,Dec,2025-12-30,49000,3,2,Pending,Medium,31,Active
Babul Electronics,Supaul,Barun Thakur,70000,Nov,2025-11-24,21000,Jan,2026-1-23,49000,1,1,Pending,Medium,7,Active
Bajrang Choudhary Traders,Dalsingsarai Chowk,Barun Thakur,11000,Dec,2025-12-23,4000,Nov,2025-11-11,7000,3,2,Pending,Low,80,Inactive
Bajrang Das Traders,Belwaganj Ward 5,Barun Thakur,1645900,Dec,2025-12-5,1608740,Nov,2025-11-17,37160,2,2,Pending,Medium,74,Moderate
Bajrang Radio,Laukaha Ghat,Vijay Jha,1893280,Jan,2026-1-9,1718710,Dec,2025-12-10,174570,7,11,Pending,High,51,Moderate
Bajrang Singh Vision,"Biraul, Near High School",Gandhi Jee,126530,Dec,2025-12-15,98930,Nov,2025-11-29,27600,5,2,Pending,Low,62,Moderate
Bajrang Traders,West Ratanpur,Chandan,2206270,Nov,2025-11-19,1917270,Dec,2025-12-11,289000,9,12,Pending,Very High,50,Moderate
Bala Ji,Khahauli,Vijay Jha,12980,Dec,2025-12-5,2800,Dec,2025-12-24,10180,1,1,Pending,Low,37,Active
Bechan Silai Machine,Sakatpur,Vijay Jha,170000,Dec,2025-12-1,120000,Dec,2025-12-4,50000,4,3,Pending,Medium,57,Moderate
Bhawani Electronics,Supaul,Barun Thakur,65000,Jan,2026-1-25,50000,Dec,2025-12-30,15000,2,1,Pending,Low,31,Active
Bholenath Digital,Bakerganj Ward 13,Ajay,189120,Nov,2025-11-16,165220,Jan,2026-1-25,23900,6,1,Pending,Low,5,Active
Bholenath Electronics,Kaptanganj,Barun Thakur,1273490,Nov,2025-11-27,1055640,Jan,2026-1-3,217850,2,4,Pending,Very High,27,Active
Bholenath Jha Sales,Paithan Kabai Bazar,Barun Thakur,2167440,Jan,2026-1-17,2029130,Dec,2025-12-5,138310,1,1,Pending,High,56,Moderate
Bholenath Radio,"Benta, Near High School",Ajay,237500,Jan,2026-1-8,220710,Nov,2025-11-15,16790,4,2,Pending,Low,76,Inactive
Bolbam Steel,Kusheshwar,Barun Thakur,147000,Dec,2025-12-17,50000,Jan,2026-1-15,97000,3,2,Pending,Medium,15,Active
City Mobile,Hajipur,Vijay Jha,890000,Jan,2026-1-25,331610,Jan,2026-1-8,558390,8,6,Pending,Critical,22,Active
Deepak Communication,Rajnagar Ward 3,Vijay Jha,2260900,Nov,2025-11-18,2069930,Nov,2025-11-21,190970,5,1,Pending,High,70,Moderate
Deepak Gupta Sales,Station Road,Barun Thakur,1526020,Dec,2025-12-12,1165160,Jan,2026-1-18,360860,1,4,Pending,Critical,12,Active
